GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US410170001001060,410170001001060,"Block 1060, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001061,410170001001061,"Block 1061, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001062,410170001001062,"Block 1062, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001063,410170001001063,"Block 1063, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001064,410170001001064,"Block 1064, Block Group 1, Census Tract 1, Deschutes County, Oregon",1
1000000US410170001001065,410170001001065,"Block 1065, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001066,410170001001066,"Block 1066, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001067,410170001001067,"Block 1067, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001068,410170001001068,"Block 1068, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001069,410170001001069,"Block 1069, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001070,410170001001070,"Block 1070, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001071,410170001001071,"Block 1071, Block Group 1, Census Tract 1, Deschutes County, Oregon",13
1000000US410170001001072,410170001001072,"Block 1072, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001073,410170001001073,"Block 1073, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001074,410170001001074,"Block 1074, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001075,410170001001075,"Block 1075, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001076,410170001001076,"Block 1076, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001077,410170001001077,"Block 1077, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001078,410170001001078,"Block 1078, Block Group 1, Census Tract 1, Deschutes County, Oregon",6
1000000US410170001001079,410170001001079,"Block 1079, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001080,410170001001080,"Block 1080, Block Group 1, Census Tract 1, Deschutes County, Oregon",5
1000000US410170001001081,410170001001081,"Block 1081, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001082,410170001001082,"Block 1082, Block Group 1, Census Tract 1, Deschutes County, Oregon",5
1000000US410170001001083,410170001001083,"Block 1083, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001084,410170001001084,"Block 1084, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001085,410170001001085,"Block 1085, Block Group 1, Census Tract 1, Deschutes County, Oregon",1
1000000US410170001001086,410170001001086,"Block 1086, Block Group 1, Census Tract 1, Deschutes County, Oregon",105
1000000US410170001001087,410170001001087,"Block 1087, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001088,410170001001088,"Block 1088, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001089,410170001001089,"Block 1089, Block Group 1, Census Tract 1, Deschutes County, Oregon",16
1000000US410170001001090,410170001001090,"Block 1090, Block Group 1, Census Tract 1, Deschutes County, Oregon",8
1000000US410170001001091,410170001001091,"Block 1091, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001092,410170001001092,"Block 1092, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001093,410170001001093,"Block 1093, Block Group 1, Census Tract 1, Deschutes County, Oregon",5
1000000US410170001001094,410170001001094,"Block 1094, Block Group 1, Census Tract 1, Deschutes County, Oregon",23
1000000US410170001001095,410170001001095,"Block 1095, Block Group 1, Census Tract 1, Deschutes County, Oregon",98
1000000US410170001001096,410170001001096,"Block 1096, Block Group 1, Census Tract 1, Deschutes County, Oregon",3
1000000US410170001001097,410170001001097,"Block 1097, Block Group 1, Census Tract 1, Deschutes County, Oregon",2
1000000US410170001001098,410170001001098,"Block 1098, Block Group 1, Census Tract 1, Deschutes County, Oregon",19
1000000US410170001001099,410170001001099,"Block 1099, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001100,410170001001100,"Block 1100, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001101,410170001001101,"Block 1101, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001102,410170001001102,"Block 1102, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001103,410170001001103,"Block 1103, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001104,410170001001104,"Block 1104, Block Group 1, Census Tract 1, Deschutes County, Oregon",106
1000000US410170001001105,410170001001105,"Block 1105, Block Group 1, Census Tract 1, Deschutes County, Oregon",8
1000000US410170001001106,410170001001106,"Block 1106, Block Group 1, Census Tract 1, Deschutes County, Oregon",25
1000000US410170001001107,410170001001107,"Block 1107, Block Group 1, Census Tract 1, Deschutes County, Oregon",14
1000000US410170001001108,410170001001108,"Block 1108, Block Group 1, Census Tract 1, Deschutes County, Oregon",8
1000000US410170001001109,410170001001109,"Block 1109, Block Group 1, Census Tract 1, Deschutes County, Oregon",7
1000000US410170001001110,410170001001110,"Block 1110, Block Group 1, Census Tract 1, Deschutes County, Oregon",13
1000000US410170001001111,410170001001111,"Block 1111, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001112,410170001001112,"Block 1112, Block Group 1, Census Tract 1, Deschutes County, Oregon",7
1000000US410170001001113,410170001001113,"Block 1113, Block Group 1, Census Tract 1, Deschutes County, Oregon",11
1000000US410170001001114,410170001001114,"Block 1114, Block Group 1, Census Tract 1, Deschutes County, Oregon",62
1000000US410170001001115,410170001001115,"Block 1115, Block Group 1, Census Tract 1, Deschutes County, Oregon",28
1000000US410170001001116,410170001001116,"Block 1116, Block Group 1, Census Tract 1, Deschutes County, Oregon",16
1000000US410170001001117,410170001001117,"Block 1117, Block Group 1, Census Tract 1, Deschutes County, Oregon",7
1000000US410170001001118,410170001001118,"Block 1118, Block Group 1, Census Tract 1, Deschutes County, Oregon",25
1000000US410170001001119,410170001001119,"Block 1119, Block Group 1, Census Tract 1, Deschutes County, Oregon",26
1000000US410170001001120,410170001001120,"Block 1120, Block Group 1, Census Tract 1, Deschutes County, Oregon",31
1000000US410170001001121,410170001001121,"Block 1121, Block Group 1, Census Tract 1, Deschutes County, Oregon",25
1000000US410170001001122,410170001001122,"Block 1122, Block Group 1, Census Tract 1, Deschutes County, Oregon",15
1000000US410170001001123,410170001001123,"Block 1123, Block Group 1, Census Tract 1, Deschutes County, Oregon",8
1000000US410170001001124,410170001001124,"Block 1124, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001125,410170001001125,"Block 1125, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001126,410170001001126,"Block 1126, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001127,410170001001127,"Block 1127, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001128,410170001001128,"Block 1128, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
1000000US410170001001129,410170001001129,"Block 1129, Block Group 1, Census Tract 1, Deschutes County, Oregon",0
